DACCADYE,21.6,22.3,21.5,21.6,21.7,-0.1,499,17.2,791236
DAFODILCOM,67.9,68.0,65.5,67.8,65.6,2.3,19,0.117,1730
DBH,77.0,77.6,76.3,77.0,77.8,-0.8,420,15.569,202746
DBH1STMF,7.5,7.6,7.5,7.5,7.5,0.0,31,0.575,75949
DESCO,38.8,40.9,37.3,38.8,40.4,-1.6,356,8.968,228520
DESHBANDHU,22.6,24.0,22.3,22.6,24.0,-1.4,1061,54.498,2359905
DGIC,38.2,39.0,38.1,38.2,38.7,-0.5,153,2.335,60551
DHAKABANK,14.3,14.6,14.1,14.3,14.3,0.0,102,5.635,392347
DHAKAINS,70.0,72.0,69.8,70.0,71.1,-1.1,263,6.109,86498
DOMINAGE,25.1,26.0,25.0,25.1,25.6,-0.5,327,7.908,313329
DOREENPWR,71.2,73.1,71.0,71.2,72.9,-1.7,595,18.933,264596
DSHGARME,194.0,196.0,181.0,194.0,183.2,10.8,1127,26.571,140291
DSSL,16.8,17.3,16.8,16.8,17.1,-0.3,363,11.558,681089
DUTCHBANGL,77.3,78.2,77.2,77.3,77.6,-0.3,306,10.052,129859
EASTLAND,36.9,37.7,36.8,36.9,37.4,-0.5,150,6.976,188538
EASTRNLUB,2496.6,2638.0,2488.1,2496.6,2541.1,-44.5,1403,33.385,13073
EBL,38.5,38.6,38.0,38.5,38.5,0.0,137,16.19,420959
EBL1STMF,7.5,7.7,7.5,7.5,7.6,-0.1,49,0.858,113623
EBLNRBMF,6.1,6.3,6.1,6.2,6.2,-0.1,41,1.197,192875
EGEN,48.9,50.8,48.2,48.9,50.4,-1.5,335,10.475,213275
EHL,55.5,57.7,55.1,55.5,57.5,-2.0,301,14.114,251286
EIL,32.9,33.7,32.8,32.9,33.3,-0.4,253,4.801,145187
EMERALDOIL,36.9,38.4,36.5,36.9,38.0,-1.1,296,11.298,301646
ENVOYTEX,47.2,49.7,47.2,47.6,48.2,-1.0,41,0.471,9893
EPGL,41.0,42.3,40.9,41.0,42.2,-1.2,394,11.737,284014
ESQUIRENIT,35.6,36.5,35.5,35.6,36.3,-0.7,214,12.79,355169
EXIM1STMF,6.3,6.5,6.3,6.4,6.4,-0.1,68,1.591,248983
EXIMBANK,12.9,13.0,12.8,12.9,13.0,-0.1,173,10.463,809436
FBFIF,5.4,5.4,5.3,5.3,5.4,0.0,62,1.128,210581
FEDERALINS,34.2,34.9,34.2,34.2,34.7,-0.5,224,4.719,137359
FEKDIL,16.8,17.2,16.7,16.8,17.2,-0.4,159,5.129,303677
FIRSTSBANK,12.5,12.7,12.5,12.5,12.6,-0.1,802,33.625,2682320
FORTUNE,123.4,127.2,121.8,123.4,125.2,-1.8,2183,194.959,1563438
FUWANGCER,18.9,20.4,18.7,18.9,20.2,-1.3,1212,35.058,1816467
GBBPOWER,34.3,36.8,34.0,34.3,36.5,-2.2,757,27.484,787222
GEMINISEA,372.3,386.0,365.9,372.3,376.2,-3.9,1415,62.583,166594
GENEXIL,152.5,158.7,151.0,152.5,155.7,-3.2,685,37.977,245433
GLOBALINS,52.7,54.8,52.6,52.7,53.2,-0.5,1167,42.839,799601
GOLDENSON,19.6,20.8,19.2,19.6,21.1,-1.5,2708,141.686,7095340
GP,359.0,360.0,358.5,359.0,358.8,0.2,370,20.804,57929
GPHISPAT,59.0,60.8,58.5,59.0,60.2,-1.2,1920,136.618,2292536
GRAMEENS2,16.2,16.3,16.1,16.2,16.2,0.0,50,1.952,120718
GREENDELMF,7.6,7.7,7.4,7.6,7.6,0.0,29,1.306,172347
GREENDELT,97.1,100.5,96.8,97.1,98.2,-1.1,600,19.834,203466
GSPFINANCE,27.2,28.4,27.0,27.2,28.1,-0.9,1570,78.572,2852444
HRTEX,57.6,59.6,57.4,57.6,59.0,-1.4,409,13.989,239098
HWAWELLTEX,44.5,44.8,44.5,44.5,44.8,-0.3,6,0.122,2733
IBNSINA,293.0,293.8,285.5,292.2,293.2,-0.2,417,46.572,160105
IBP,18.7,19.2,18.7,18.7,19.0,-0.3,266,7.461,396539
ICB,124.8,130.2,124.4,124.8,127.3,-2.5,370,11.39,90443
ICB3RDNRB,6.9,7.1,6.9,6.9,7.0,-0.1,43,0.637,91580
ICBAGRANI1,8.8,9.1,8.8,8.9,9.0,-0.2,13,0.059,6588
ICBAMCL2ND,8.8,9.0,8.8,8.9,8.9,-0.1,25,1.27,142711
ICBEPMF1S1,7.3,7.6,7.3,7.3,7.6,-0.3,72,5.649,767246
ICBSONALI1,8.0,8.0,7.9,8.0,8.0,0.0,11,0.118,14755
IDLC,60.4,61.5,60.1,60.4,60.9,-0.5,231,10.023,165482
IFADAUTOS,48.6,49.4,48.4,48.6,49.3,-0.7,328,8.162,167128
IFIC,17.1,17.4,17.0,17.1,17.3,-0.2,1234,72.257,4215392
IFIC1STMF,5.4,5.7,5.4,5.5,5.6,-0.2,147,3.176,574936
IFILISLMF1,6.7,6.7,6.7,6.7,6.7,0.0,29,0.249,37206
INDEXAGRO,123.0,128.4,123.0,124.3,127.2,-4.2,462,20.458,164119
INTECH,28.0,28.7,28.0,28.1,28.5,-0.5,209,5.141,182485
INTRACO,21.4,21.9,21.3,21.4,21.8,-0.4,283,9.802,456102
IPDC,38.8,39.4,38.4,38.8,38.8,0.0,430,26.696,688972
ISLAMIBANK,31.9,32.3,31.9,32.2,32.0,-0.1,125,4.193,130379
ISLAMICFIN,25.9,26.4,25.8,25.9,26.3,-0.4,408,13.351,514089
ISLAMIINS,62.3,64.0,62.1,62.3,63.4,-1.1,301,10.056,160196
ITC,33.7,34.4,33.1,33.2,33.9,-0.2,118,2.83,84463
JAMUNABANK,23.4,23.5,23.3,23.4,23.3,0.1,99,8.793,376061
JAMUNAOIL,169.8,174.3,167.0,169.8,183.0,-13.2,533,15.294,90582
JANATAINS,44.9,45.7,44.5,44.9,45.7,-0.8,102,2.283,50542
JMISMDL,356.7,360.0,348.7,356.7,350.6,6.1,748,23.034,64834
KARNAPHULI,40.6,41.7,40.4,40.6,41.2,-0.6,170,3.821,93002
KAY&QUE,277.8,295.0,275.0,277.8,285.0,-7.2,132,2.199,7814
KDSALTD,62.0,64.0,61.8,62.0,63.5,-1.5,800,31.557,504407
KEYACOSMET,7.1,7.3,7.0,7.1,7.3,-0.2,1118,47.317,6640686
KOHINOOR,431.0,438.3,404.0,431.0,403.1,27.9,1026,30.411,71226
KTL,31.5,33.6,30.7,31.5,32.3,-0.8,649,36.852,1162778
LANKABAFIN,37.7,38.3,37.4,37.6,38.2,-0.5,1072,67.001,1768123
LEGACYFOOT,64.4,66.5,64.3,64.4,65.4,-1.0,193,3.377,52184
LHBL,75.2,77.3,75.0,75.2,75.0,0.2,2054,133.215,1753426
LIBRAINFU,1020.0,1069.9,1014.1,1029.7,1032.0,-12.0,488,13.285,12827
LINDEBD,1932.3,1969.9,1890.0,1932.3,1937.9,-5.6,3176,183.995,95921
LOVELLO,44.1,44.7,42.9,44.1,43.5,0.6,1575,62.757,1430627
LRBDL,39.3,41.6,39.1,39.3,41.1,-1.8,550,14.267,357664
LRGLOBMF1,7.0,7.0,6.9,7.0,7.0,0.0,54,1.981,286367
MALEKSPIN,28.8,29.3,28.5,28.8,28.7,0.1,317,12.844,446470
MARICO,2332.0,2355.0,2326.0,2333.4,2350.6,-18.6,192,16.511,7045
